Article.ID;geography;response;depth;scope;speed;settlement;actor;adaptation
6205478;Africa;Technological/infrastructural;low;low;low;rural;Private sector (SME);Implementing
6205478;Africa;Technological/infrastructural;low;low;low;rural;Private sector (SME);Financing of measures
6205478;Africa;Behavioural/cultural;low;low;low;rural;Private sector (SME);Implementing
6205478;Africa;Behavioural/cultural;low;low;low;rural;Private sector (SME);Financing of measures
6205478;Africa;Ecosystem-based;low;low;low;rural;Private sector (SME);Implementing
6205478;Africa;Ecosystem-based;low;low;low;rural;Private sector (SME);Financing of measures
6205478;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Financing of measures
6205478;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Implementing
6205478;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Financing of measures
6205478;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205478;Africa;Ecosystem-based;low;low;low;rural;Individuals or households;Financing of measures
6205478;Africa;Ecosystem-based;low;low;low;rural;Individuals or households;Implementing
6205478;Africa;Technological/infrastructural;low;low;low;rural;Civil society (sub-national or local);Awareness raising
6205478;Africa;Technological/infrastructural;low;low;low;rural;Civil society (sub-national or local);Financing of measures
6205478;Africa;Behavioural/cultural;low;low;low;rural;Civil society (sub-national or local);Awareness raising
6205478;Africa;Behavioural/cultural;low;low;low;rural;Civil society (sub-national or local);Financing of measures
6205478;Africa;Ecosystem-based;low;low;low;rural;Civil society (sub-national or local);Awareness raising
6205478;Africa;Ecosystem-based;low;low;low;rural;Civil society (sub-national or local);Financing of measures
6205478;Africa;Technological/infrastructural;low;low;low;rural;Other;Awareness raising
6205478;Africa;Behavioural/cultural;low;low;low;rural;Other;Awareness raising
6205478;Africa;Ecosystem-based;low;low;low;rural;Other;Awareness raising
6205479;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Financing of measures
6205479;Africa;Behavioural/cultural;low;low;low;rural;Individuals or households;Implementing
6205479;Africa;Ecosystem-based;low;low;low;rural;Individuals or households;Financing of measures
6205479;Africa;Ecosystem-based;low;low;low;rural;Individuals or households;Implementing
6205479;Africa;Behavioural/cultural;low;low;low;rural;Government (sub-national);Planning
6205479;Africa;Ecosystem-based;low;low;low;rural;Government (sub-national);Planning
6205481;Africa;Ecosystem-based;low;medium;low;rural;Individuals or households;Implementing
6205481;Africa;Ecosystem-based;low;medium;low;rural;Individuals or households;Financing of measures
6205483;Africa;Institutional;medium;medium;medium;rural;Individuals or households;Implementing
6205483;Africa;Ecosystem-based;medium;medium;medium;rural;Individuals or households;Implementing
6205483;Africa;Technological/infrastructural;medium;medium;medium;rural;Individuals or households;Implementing
6205484;Africa;Ecosystem-based;uncertain;low;medium;rural;Individuals or households;Implementing
6205484;Africa;Technological/infrastructural;uncertain;low;medium;rural;Individuals or households;Implementing
6205484;Africa;Behavioural/cultural;uncertain;low;medium;rural;Individuals or households;Implementing
6205486;Africa;Institutional;low;low;low;rural;Individuals or households;Planning
6205486;Africa;Institutional;low;low;low;rural;Individuals or households;Implementing
6205486;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Planning
6205486;Africa;Technological/infrastructural;low;low;low;rural;Individuals or households;Implementing
